	St	Ht	Vt	N
4594	110.17636095166442	21.92371005382708	22.109578551141194	15
4595	45.522897622459396	14.61392777787909	14.578769175437326	15
4596	133.31102263136265	23.97307382122579	23.93836566938409	15
4597	146.4524802781815	24.67334729487247	24.86718695452829	15
4598	69.36247274067817	17.88884012073778	17.97205436064436	15
4599	146.15305500689243	25.072477067960882	24.846779433282165	15
4600	218.4752012134116	29.384363210447226	29.01624075696334	15
4601	126.43000588400949	23.448730466808968	23.422588086057754	15
4602	194.28529091407594	27.659815794135078	27.765813888889603	15
4603	146.92789844918084	24.637569360778976	24.899520960877155	15
4604	99.24335614225917	20.973846336365476	21.13769566632767	15
4605	75.06638795848906	18.802775442741865	18.64834445838591	15
4606	55.605093826706174	16.369614368400676	16.146532469963933	15
4607	62.77577836332602	17.278558279221553	17.136034024467495	15
4608	79.74792413386447	19.0054119410307	19.17450870940543	15
4609	120.77019503325283	22.788581183784608	22.981376779829162	15
4610	225.28346258156864	29.475461337976718	29.34778333439808	15
4611	85.9949598198771	19.69912221384481	19.84068771417797	15
4612	36.55996259200883	13.262150642213983	12.95246790310936	15
4613	64.64443778339138	17.460260696865696	17.379744433260083	15
4614	111.5032803849858	22.365679124254697	22.222305218253204	15
4615	94.57153627216685	20.694753042204148	20.696644979999927	15
4616	101.74957400013774	21.51810065018408	21.36764157467008	15
4617	93.72924337223618	20.518497377433647	20.615325113966374	15
4618	149.5740383098376	24.911255861595606	25.077975805332542	15
4619	79.9173725314539	19.23963057917812	19.193101922845795	15
4620	68.13355766883345	17.85551731368935	17.820807797897043	15
4621	90.71502356522446	20.56922445448663	20.319566496823175	15
4622	85.81616858286961	19.616330832743266	19.822151033247163	15
4623	106.36325392540016	21.729084012461684	21.77958374752386	15
4624	201.52306742727754	28.062586290511682	28.152615701332387	15
4625	130.93872438509163	23.72934215242268	23.762987317796387	15
4626	148.79219906275802	25.21807932715741	25.025513459758983	15
4627	49.528482080885894	15.386883334306086	15.229880109230729	15
4628	177.92021969267608	27.199086965031306	26.84623492983496	15
4629	119.14190305629857	23.04683167436951	22.851413844931503	15
4630	87.83530310827815	19.960510764820377	20.02977358764854	15
4631	101.89806751188361	21.335417276277177	21.381126078100902	15
4632	102.06857289474432	21.401270259481635	21.396590469693564	15
4633	118.38392412541421	22.870373497446373	22.790435689491495	15
4634	82.81572319464712	19.73091961090023	19.506514001596678	15
4635	112.02645452801981	22.20033630800596	22.266460420636268	15
4636	170.81475942364895	26.54091479683475	26.425559560636597	15
4637	170.33262942411767	26.470466762601887	26.39650762544243	15
4638	242.6465382198511	30.288880871043652	30.157734363552134	15
4639	53.968364802808864	16.210541947510855	15.907318908802079	15
4640	105.86581174544501	21.499692257583398	21.735851163020296	15
4641	76.1955063208387	18.662021743507104	18.777510459320702	15
4642	53.791958229883654	16.00532072949623	15.88121314166357	15
4643	135.55034763300034	24.37027728168769	24.10165007168726	15
4644	111.11674923120515	22.082321191307066	22.189577535275404	15
4645	76.95276342227628	19.05334802943819	18.86331476455075	15
4646	132.02683244748158	24.097860725218556	23.84373956882273	15
4647	144.4010562567915	24.667664556350694	24.726696471467385	15
4648	153.84806669795188	25.24828435318443	25.360948875146043	15
4649	63.37685641809094	17.426992175218793	17.21502047107069	15
4650	244.93634685336227	30.232094584021084	30.26098304503348	15
