	St	Ht	Vt	N
25183	91.14490535770929	-0.18429072562679683	0.0	360
25184	152.49909694785975	53.85178746445119	52.499096947859755	360
25185	120.90190367011924	20.77964499737864	20.90190367011924	360
25186	143.9444379782611	43.983785162538496	43.94443797826111	360
25187	114.54795763546723	15.774575974394182	14.547957635467228	360
25188	108.79380057309898	8.485047826159672	8.793800573098977	360
25189	57.49719625186423	-0.16435589775439532	0.0	360
25190	100.68096784552294	0.05296860611541376	0.6809678455229431	360
25191	184.02273406261787	84.9519567795018	84.02273406261787	360
25192	88.43672065426878	-0.0947658586938201	0.0	360
25193	63.14735951008745	-1.5905505971363865	0.0	360
25194	148.24837439570777	47.64061165483032	48.24837439570777	360
25195	85.74310995837195	0.4500150846025544	0.0	360
25196	43.34452012893486	-0.5288709754431102	0.0	360
25197	138.0808900801516	38.64245841707566	38.08089008015159	360
25198	68.56989453482322	0.15292885367436868	0.0	360
25199	102.27711456888825	2.479025805843122	2.2771145688882513	360
25200	167.55568237688638	68.84345073340747	67.55568237688638	360
25201	72.98159000614629	-0.41657060143089514	0.0	360
25202	128.9846611583066	29.455879742448104	28.984661158306608	360
25203	151.10294851899195	50.40378563302254	51.10294851899195	360
25204	156.5843622556143	57.65256111841025	56.58436225561431	360
25205	83.4248980658629	-0.8257194707061644	0.0	360
25206	163.97444037488728	65.51004096618279	63.97444037488728	360
25207	110.21684843181384	9.50444304756796	10.216848431813844	360
25208	147.08724267920314	47.985153823045465	47.08724267920314	360
25209	131.46007821693925	31.289344336099532	31.46007821693925	360
25210	92.87520883722296	0.2918174272053481	0.0	360
25211	87.20217152851438	-0.07620181335041143	0.0	360
25212	94.61092744460232	0.13528724413260362	0.0	360
25213	78.44628306099968	-0.5813824917509223	0.0	360
25214	113.11130614974832	13.830563922534097	13.111306149748316	360
25215	68.91705176807673	-0.7952411427303522	0.0	360
25216	65.88504887014093	-0.2798802716644503	0.0	360
25217	138.8542791134102	38.79957391142709	38.8542791134102	360
25218	109.29115784987617	10.680311379644337	9.291157849876171	360
25219	119.05974940592161	18.200210943111017	19.059749405921607	360
25220	113.15443284889518	15.571314512969948	13.154432848895183	360
25221	100.37100247222122	0.37134682870402	0.37100247222122107	360
25222	113.87025513983234	15.219886386768138	13.870255139832338	360
25223	108.4007823621689	7.7617645640288515	8.400782362168897	360
25224	107.87277114000054	7.64269671372233	7.872771140000538	360
25225	85.69214533436221	-0.8125185195570054	0.0	360
25226	77.4163147594925	-0.9950784723959256	0.0	360
25227	133.72753280767537	34.50485397971619	33.727532807675374	360
25228	94.17065283447486	0.9215649329725286	0.0	360
25229	118.9553918869991	18.18822872912898	18.955391886999095	360
25230	133.46777563945756	32.740072466536176	33.46777563945756	360
25231	63.04745073654364	-0.786729735722073	0.0	360
25232	61.66286272242727	-0.7626725335712188	0.0	360
25233	115.05287631498916	15.751273374244747	15.052876314989163	360
25234	125.1380058316112	26.289235493117317	25.138005831611196	360
25235	121.5162260235372	21.24137404505801	21.5162260235372	360
25236	108.87284136947385	8.47797410533839	8.872841369473846	360
25237	101.171915643734	2.0652404428482924	1.1719156437339961	360
25238	117.4310504064491	18.39899653846375	17.431050406449103	360
25239	99.18986985992484	1.3443756433209515	0.0	360
25240	111.05339655653216	10.337972075054722	11.053396556532164	360
25241	127.3439443522117	28.09734254574468	27.343944352211693	360
25242	98.52222980489512	-0.8616748771639209	0.0	360
25243	121.7387610259769	21.03522224520455	21.7387610259769	360
25244	94.1957425959164	-1.8587866579073271	0.0	360
25245	173.10069971948377	74.5375157058383	73.10069971948377	360
25246	112.794139856815	13.387117892755938	12.794139856814994	360
25247	58.27674443066511	-0.9280909858206808	0.0	360
25248	113.58235319228666	14.782921458384152	13.58235319228666	360
25249	171.86255804801104	72.58852764982483	71.86255804801104	360
25250	54.99959227366588	0.061097609923633105	0.0	360
25251	68.71858162683847	-1.1204286089010298	0.0	360
25252	122.12707189289117	23.20918023830457	22.127071892891166	360
25253	65.34244364149308	-1.758642181360724	0.0	360
25254	116.84761504648964	18.05312073473739	16.847615046489636	360
25255	96.67452935737938	-0.8134579472625632	0.0	360
25256	119.38319818395043	19.662783397689253	19.383198183950427	360
25257	91.0925034166908	-0.4806743684526402	0.0	360
25258	84.0836416854776	-0.4276054802156488	0.0	360
25259	111.87088562466397	13.16578359931539	11.87088562466397	360
25260	146.19527656406206	46.37196479385425	46.195276564062056	360
25261	78.48861692958901	0.1359882137674953	0.0	360
25262	124.68848750244992	24.735100718848486	24.688487502449917	360
25263	112.32215017374459	13.084234619419448	12.322150173744589	360
25264	111.76933535817645	12.113496677075318	11.769335358176448	360
25265	152.60823334593255	53.284015442626284	52.60823334593255	360
25266	87.85284295851805	-0.8114928144805906	0.0	360
25267	167.58063137391375	68.20253856198015	67.58063137391375	360
25268	80.6260424684829	-1.6084789462422027	0.0	360
25269	153.031735597005	54.01204287488956	53.031735597004996	360
25270	179.49544961389861	80.50066194545646	79.49544961389861	360
25271	100.99724367790917	0.08644638326536835	0.997243677909168	360
25272	102.34931245140028	1.2797990683757945	2.34931245140028	360
25273	108.95816569671445	10.084604808967015	8.958165696714445	360
25274	45.06402943033749	-0.3050149030346751	0.0	360
25275	109.96927706159812	10.81492248934083	9.96927706159812	360
25276	92.3455559965147	0.35105728747603304	0.0	360
25277	133.93760796125156	32.89090785906181	33.93760796125156	360
25278	101.55916527385925	3.122345827388912	1.55916527385925	360
25279	100.63193870051526	0.08455135874679609	0.6319387005152635	360
25280	130.6670202856814	31.214998118189044	30.66702028568139	360
25281	77.85980350058327	-0.7156404272921802	0.0	360
25282	106.92864444441665	6.6607610045274015	6.928644444416648	360
25283	104.33301356861806	4.160492824013161	4.333013568618057	360
25284	84.93515805346576	-0.6962111838909424	0.0	360
25285	72.02635525146805	-0.2629463372313411	0.0	360
25286	136.3163520838632	37.07924802054677	36.316352083863194	360
25287	81.54952310484433	-0.9540704972230869	0.0	360
25288	92.45716955267343	-1.2277588062700862	0.0	360
25289	122.4761084418122	23.27969448273808	22.4761084418122	360
25290	99.4895218311294	-1.577085405823759	0.0	360
25291	97.21180772001948	0.9099903956625115	0.0	360
25292	104.04149230321688	2.9055090768652434	4.041492303216884	360
25293	106.23678343945399	6.247799280951753	6.236783439453987	360
25294	64.53301669337296	-1.24800693433133	0.0	360
25295	171.46297484919418	72.04910838496335	71.46297484919418	360
